"signature","transaction_type","success","application","commitment_level","slot_sent","slot_landed","time_difference","slotLatency"
"JB8H7w7c9Kip1ofwrAqnNSi29eXqFP5phU8BK745iJrFUCopZyFVi41Uf6nRbP6ZvBMukxa1ZEGdfafCcFGfK8C","transfer",true,"web3","confirmed",292886334,292886341,3661,7
"124YNcgmzyd11kNYnYhv1a3parji2uVjRKPvjkY23hxjLpKaAiSDg3KpWwR6iApg29R6WsVuG21FvXajLha8UAqU","transfer",true,"web3","confirmed",292886425,292886432,4095,7
"JSppjsVa8d1ApdXXCCBgV4vGuw3PVgtJpC9rN1EkHbeGMrJVngqBexrA8M6hKyTPFnVeSJNyrZDvmqYyL6LXdhZ","transfer",true,"web3","confirmed",292886458,292886464,3458,6
